time-ind,ti,tf,gamma,gamma1,gamma2,gamma3,max(u),min(r),max(r),toc
0,0,0,0,0,0,0,0,0,0,0
1,7,9,6.2464e+08,1.9409e+05,27256,7.0377e+06,2.4764,-0.039267,0.95134,2109.9
2,9,11,8.4862e+08,2.6032e+05,30673,1.0833e+07,2.1786,-0.05702,2.1045,2297.7
3,11,13,7.0397e+08,1.5068e+05,21703,9.7357e+06,2.2441,-0.040195,1.2927,2299.7
4,13,15,5.0684e+08,1.0056e+05,14648,7.2052e+06,1.5387,-0.043024,0.8196,2310.1
5,15,17,3.5924e+08,65005,8820.3,5.4193e+06,1.0054,-0.045086,0.33744,2301.5
6,17,19,2.6485e+08,70997,5833.4,4.129e+06,0.68488,-0.046554,0.31945,2278.6
7,19,21,1.9373e+08,73378,4133.6,3.0463e+06,0.97848,-0.044933,0.22713,2287.5
8,21,23,1.5667e+08,48134,3218.7,2.4887e+06,0.64276,-0.07184,0.1781,2282.3
9,23,25,1.2506e+08,45886,2513.3,1.9976e+06,1.5744,-0.045285,0.18193,2322.1
10,25,27,1.0685e+08,57162,2307.3,1.6745e+06,1.2413,-0.13384,0.17981,2219.3
11,27,29,9.6579e+07,16518,2123.5,1.5066e+06,0.33543,-0.046287,0.1807,2274.6
12,29,31,6.9599e+07,58667,1479.1,1.095e+06,1.1514,-0.056901,0.1347,2261
13,31,33,6.6166e+07,19989,1302.7,1.0624e+06,0.50005,-0.064965,0.13949,2260
14,33,35,4.8849e+07,63598,999.62,7.7578e+05,1.9228,-0.052672,0.11,2218.3
0,0,0,0,0,0,0,0,0,0,32347
